Date,Home,Score,Away,Result,W,D,L,Pts,Poss,Gls,Ast,CrdY,CrdR,GlsPer90,AstPer90,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,GA,GA90,SoTA,Saves,Save%,CS,CS%,Cmp%,KP,1/3,Prog,SCA,SCA90,PassLiveSCA,DribSCA,ShSCA,DefSCA,GCA,GCA90,PassLiveGCA,DribGCA,ShGCA,DefGCA,TklW,Blocks,Int,Err,Live,Miscon
2019-08-31,Southampton,1 - 1,Manchester Utd,D,-3.000000,-5.000000,8.000000,-14.000000,-6.900000,-14.000000,-11.000000,-18.000000,4.000000,-0.370000,-0.290000,-31.000000,-31.000000,-3.900000,-0.810000,-0.810000,0.000000,0.010000,24.000000,0.630000,38.000000,15.000000,-0.086000,-4.000000,-10.500000,-9.000000,-68.000000,-381.000000,-382.000000,-162.000000,-4.260000,-205.000000,6.000000,12.000000,17.000000,-33.000000,-0.870000,-38.000000,2.000000,7.000000,1.000000,124.000000,62.000000,-5.000000,13.000000,-3783.000000,63.000000
2019-08-31,West Ham,2 - 0,Norwich City,W,5.000000,3.000000,-8.000000,18.000000,-5.300000,24.000000,18.000000,-4.000000,-2.000000,0.630000,0.480000,5.000000,33.000000,7.600000,0.130000,0.870000,0.050000,0.100000,-13.000000,-0.340000,-23.000000,-5.000000,0.033000,2.000000,5.200000,-4.800000,19.000000,91.000000,53.000000,9.000000,0.230000,4.000000,-8.000000,-9.000000,-8.000000,43.000000,1.130000,27.000000,3.000000,4.000000,-3.000000,36.000000,-80.000000,21.000000,-5.000000,-2216.000000,-80.000000
2019-08-31,Leicester City,3 - 1,Bournemouth,W,9.000000,1.000000,-10.000000,28.000000,13.800000,27.000000,24.000000,-35.000000,0.000000,0.710000,0.630000,149.000000,65.000000,3.800000,3.920000,1.710000,0.020000,0.040000,-24.000000,-0.630000,-56.000000,-27.000000,0.068000,8.000000,21.000000,7.100000,131.000000,337.000000,267.000000,308.000000,8.110000,232.000000,32.000000,10.000000,10.000000,55.000000,1.450000,55.000000,2.000000,-8.000000,4.000000,129.000000,-102.000000,21.000000,-1.000000,5153.000000,-53.000000
2019-08-31,Chelsea,2 - 2,Sheffield Utd,D,6.000000,-6.000000,0.000000,12.000000,17.600000,33.000000,21.000000,-3.000000,-2.000000,0.870000,0.550000,266.000000,101.000000,3.000000,7.000000,2.660000,0.000000,-0.020000,15.000000,0.390000,-26.000000,-38.000000,-0.182000,-4.000000,-10.500000,10.700000,187.000000,487.000000,461.000000,438.000000,11.530000,337.000000,19.000000,18.000000,5.000000,51.000000,1.340000,34.000000,3.000000,2.000000,2.000000,57.000000,-42.000000,8.000000,-3.000000,8367.000000,57.000000
2019-08-31,Crystal Palace,1 - 0,Aston Villa,W,2.000000,2.000000,-4.000000,8.000000,0.600000,-11.000000,-12.000000,-8.000000,1.000000,-0.290000,-0.310000,-81.000000,-30.000000,-1.000000,-2.130000,-0.790000,-0.020000,-0.050000,-17.000000,-0.440000,-6.000000,7.000000,0.058000,3.000000,7.900000,1.100000,-108.000000,-30.000000,6.000000,-229.000000,-6.030000,-207.000000,15.000000,-5.000000,-4.000000,-15.000000,-0.400000,-11.000000,0.000000,-2.000000,-2.000000,42.000000,-50.000000,23.000000,-16.000000,958.000000,100.000000
2019-08-31,Newcastle Utd,1 - 1,Watford,D,3.000000,1.000000,-4.000000,10.000000,-3.900000,3.000000,8.000000,-14.000000,0.000000,0.080000,0.210000,-13.000000,13.000000,4.200000,-0.340000,0.340000,0.030000,0.050000,-6.000000,-0.150000,24.000000,25.000000,0.042000,2.000000,5.200000,1.200000,6.000000,-126.000000,-232.000000,-46.000000,-1.210000,-28.000000,3.000000,-5.000000,-11.000000,8.000000,0.220000,10.000000,1.000000,2.000000,-2.000000,-36.000000,14.000000,-18.000000,-1.000000,-1181.000000,6.000000
2019-08-31,Manchester City,4 - 0,Brighton,W,17.000000,-11.000000,-6.000000,40.000000,14.700000,65.000000,45.000000,5.000000,2.000000,1.710000,1.190000,274.000000,109.000000,3.700000,7.210000,2.860000,0.060000,0.130000,-19.000000,-0.500000,-57.000000,-41.000000,0.018000,8.000000,21.000000,7.400000,231.000000,825.000000,704.000000,521.000000,13.710000,427.000000,52.000000,27.000000,3.000000,104.000000,2.740000,77.000000,9.000000,10.000000,5.000000,-44.000000,-187.000000,-72.000000,3.000000,7680.000000,-142.000000
2019-08-31,Burnley,0 - 3,Liverpool,L,-17.000000,6.000000,11.000000,-45.000000,-22.000000,-42.000000,-39.000000,29.000000,-1.000000,-1.100000,-1.030000,-201.000000,-98.000000,-5.600000,-5.280000,-2.580000,-0.030000,-0.040000,17.000000,0.450000,52.000000,37.000000,0.010000,0.000000,0.000000,-13.400000,-173.000000,-956.000000,-1002.000000,-345.000000,-9.080000,-282.000000,-47.000000,-1.000000,-4.000000,-74.000000,-1.940000,-52.000000,-11.000000,-3.000000,2.000000,-35.000000,231.000000,6.000000,-5.000000,-10640.000000,-71.000000
2019-09-01,Everton,3 - 2,Wolves,W,-2.000000,-4.000000,6.000000,-10.000000,0.900000,-7.000000,-2.000000,15.000000,1.000000,-0.180000,-0.050000,12.000000,13.000000,2.000000,0.320000,0.340000,-0.010000,-0.060000,16.000000,0.420000,25.000000,15.000000,-0.041000,-4.000000,-10.500000,-1.500000,-11.000000,18.000000,1151.000000,-1.000000,-0.030000,-20.000000,-24.000000,22.000000,0.000000,-21.000000,-0.550000,-5.000000,-3.000000,0.000000,-4.000000,0.000000,-20.000000,16.000000,9.000000,-630.000000,46.000000
2019-09-01,Arsenal,2 - 2,Tottenham,D,-2.000000,3.000000,-1.000000,-3.000000,1.800000,0.000000,-4.000000,4.000000,2.000000,0.000000,-0.110000,-38.000000,-11.000000,0.600000,-1.000000,-0.290000,0.010000,0.030000,1.000000,0.020000,17.000000,13.000000,0.027000,2.000000,5.200000,2.400000,-42.000000,-21.000000,-41.000000,-79.000000,-2.080000,-94.000000,-4.000000,5.000000,0.000000,-3.000000,-0.080000,2.000000,-8.000000,-3.000000,6.000000,-72.000000,-46.000000,-15.000000,3.000000,-182.000000,38.000000
2019-09-14,Liverpool,3 - 1,Newcastle Utd,W,21.000000,-8.000000,-13.000000,55.000000,24.800000,45.000000,40.000000,-28.000000,-2.000000,1.180000,1.060000,188.000000,95.000000,5.900000,4.940000,2.500000,0.030000,0.050000,-25.000000,-0.660000,-83.000000,-59.000000,-0.004000,4.000000,10.600000,9.300000,143.000000,972.000000,1062.000000,319.000000,8.400000,257.000000,28.000000,7.000000,5.000000,79.000000,2.070000,55.000000,11.000000,2.000000,-1.000000,-18.000000,-157.000000,-47.000000,-1.000000,10526.000000,24.000000
2019-09-14,Manchester Utd,1 - 0,Leicester City,W,0.000000,4.000000,-4.000000,4.000000,-1.400000,0.000000,-5.000000,30.000000,-3.000000,0.000000,-0.130000,-5.000000,19.000000,3.900000,-0.140000,0.500000,-0.010000,-0.050000,-5.000000,-0.130000,-1.000000,-3.000000,-0.002000,0.000000,0.000000,1.000000,3.000000,125.000000,164.000000,30.000000,0.790000,76.000000,-8.000000,-13.000000,-6.000000,-10.000000,-0.260000,-11.000000,1.000000,-1.000000,-2.000000,-119.000000,31.000000,-9.000000,-6.000000,-151.000000,-17.000000
2019-09-14,Sheffield Utd,0 - 1,Southampton,L,-1.000000,5.000000,-4.000000,2.000000,-6.200000,-15.000000,-7.000000,8.000000,-2.000000,-0.390000,-0.180000,-144.000000,-60.000000,-3.100000,-3.790000,-1.580000,0.000000,0.030000,-21.000000,-0.550000,-22.000000,-4.000000,0.080000,4.000000,10.500000,-0.400000,-67.000000,14.000000,-59.000000,-192.000000,-5.060000,-94.000000,-28.000000,-11.000000,-20.000000,-12.000000,-0.320000,4.000000,-5.000000,-2.000000,-3.000000,-91.000000,-76.000000,-35.000000,-8.000000,-1081.000000,-96.000000
2019-09-14,Tottenham,4 - 0,Crystal Palace,W,5.000000,1.000000,-6.000000,16.000000,7.700000,27.000000,19.000000,22.000000,1.000000,0.710000,0.500000,67.000000,39.000000,4.100000,1.760000,1.030000,0.050000,0.120000,-3.000000,-0.080000,3.000000,10.000000,0.052000,-2.000000,-5.200000,4.000000,74.000000,281.000000,241.000000,177.000000,4.660000,188.000000,3.000000,9.000000,5.000000,35.000000,0.920000,20.000000,7.000000,10.000000,2.000000,15.000000,-15.000000,-18.000000,-2.000000,3712.000000,-99.000000
2019-09-14,Wolves,2 - 5,Chelsea,L,-5.000000,8.000000,-3.000000,-7.000000,-12.400000,-20.000000,-12.000000,1.000000,2.000000,-0.530000,-0.320000,-166.000000,-68.000000,-2.600000,-4.370000,-1.790000,0.000000,0.020000,-14.000000,-0.370000,5.000000,15.000000,0.127000,4.000000,10.500000,-5.600000,-126.000000,-467.000000,-1412.000000,-284.000000,-7.470000,-262.000000,17.000000,-14.000000,8.000000,-23.000000,-0.600000,-28.000000,0.000000,0.000000,3.000000,-26.000000,32.000000,-5.000000,-8.000000,-6747.000000,-30.000000
