Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
147,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Leicester City,26,1990,29,27,2466,1,2,0,0,6,0,0.04,0.07,0.11,0.04,0.11,Matches
148,Nathan Dyer\Nathan-Dyer,eng ENG,MFFW,Swansea City,28,1987,8,3,214,0,1,0,0,0,0,0.00,0.42,0.42,0.00,0.42,Matches
149,Ovie Ejaria\Ovie-Ejaria,eng ENG,MF,Liverpool,18,1997,2,0,8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
150,Omar Elabdellaoui\Omar-Elabdellaoui,no NOR,DFMF,Hull City,24,1991,8,7,615,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
151,Andrew Eleftheriou\Andrew-Eleftheriou,eng ENG,DF,Watford,18,1997,1,0,52,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
152,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DFMF,Hull City,28,1987,33,28,2524,0,2,0,0,3,1,0.00,0.07,0.07,0.00,0.07,Matches
153,Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,24,1992,14,8,694,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches
154,Christian Eriksen\Christian-Eriksen,dk DEN,MF,Tottenham,24,1992,36,36,3157,8,15,0,0,0,0,0.23,0.43,0.66,0.23,0.66,Matches
155,Bernardo Espinosa\Bernardo-Espinosa,co COL,DF,Middlesbrough,27,1989,11,10,975,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
156,Jonny Evans\Jonny-Evans,nir NIR,DF,West Brom,28,1988,31,30,2637,2,2,0,0,8,0,0.07,0.07,0.14,0.07,0.14,Matches
157,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,Swansea City,31,1985,37,37,3330,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
158,Fábio\Fabio,br BRA,DF,Middlesbrough,26,1990,24,21,1847,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
159,Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Chelsea,29,1987,29,13,1339,5,12,0,0,8,0,0.34,0.81,1.14,0.34,1.14,Matches
160,Adam Federici\Adam-Federici,au AUS,GK,Bournemouth,31,1985,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
161,Sofiane Feghouli\Sofiane-Feghouli,dz ALG,MFFW,West Ham,26,1989,21,11,1041,3,2,0,0,1,1,0.26,0.17,0.43,0.26,0.43,Matches
162,Marouane Fellaini\Marouane-Fellaini,be BEL,MF,Manchester Utd,28,1987,28,18,1605,1,0,0,0,9,1,0.06,0.00,0.06,0.06,0.06,Matches
163,Leroy Fer\Leroy-Fer,nl NED,MF,Swansea City,26,1990,34,27,2404,6,2,0,0,9,0,0.22,0.07,0.30,0.22,0.30,Matches
